source,target,t_i,t_j,weight,speaker_i,speaker_j
175,185,2803.5,2911.0,-0.17780938744544983,Barbara Smith,Aniruddha Ray
50,57,805.75,922.5,-0.121616892516613,Brad Smith,Carolyn Bayer
164,173,2694.75,2792.0,-0.11917481571435928,Brad Smith,Brad Smith
189,196,2988.5,3073.5,-0.1167047917842865,Carolyn Bayer,Brad Smith
166,175,2718.5,2803.5,-0.1155848428606987,Sixian You,Barbara Smith
192,196,3020.0,3073.5,-0.10356836020946503,Aniruddha Ray,Brad Smith
201,205,3173.0,3232.538461538462,-0.10033021867275238,Brad Smith,Barbara Smith
199,203,3140.6,3191.0,-0.091183602809906,Luke Mortensen,Brad Smith
175,184,2803.5,2892.5,-0.09069337695837021,Barbara Smith,Brad Smith
201,203,3173.0,3191.0,-0.08913803100585938,Brad Smith,Brad Smith
96,99,1690.0,1737.5,-0.08714541792869568,Alexandra Dickinson,Alexandra Dickinson
171,184,2774.5,2892.5,-0.08190526813268661,Brad Smith,Brad Smith
166,178,2718.5,2824.0,-0.07932228595018387,Sixian You,Aniruddha Ray
134,136,2269.5,2304.4444444444443,-0.07896186411380768,Brad Smith,Alexandra Dickinson
99,104,1737.5,1815.5,-0.07844100892543793,Alexandra Dickinson,Barbara Smith
174,184,2797.5,2892.5,-0.07812224328517914,Aniruddha Ray,Brad Smith
118,122,2043.75,2101.5,-0.07737917453050613,Barbara Smith,Brad Smith
201,206,3173.0,3246.6153846153848,-0.07677574455738068,Brad Smith,Barbara Smith
167,175,2731.5,2803.5,-0.07540819048881531,Brad Smith,Barbara Smith
178,184,2824.0,2892.5,-0.07226230204105377,Aniruddha Ray,Brad Smith
189,197,2988.5,3108.5,-0.0686039924621582,Carolyn Bayer,Yevgenia Kozorovitskiy
99,100,1737.5,1749.5,-0.06689264625310898,Alexandra Dickinson,Carolyn Bayer
166,172,2718.5,2784.5,-0.06629898399114609,Sixian You,Andrew Feig
202,203,3184.0,3191.0,-0.06441802531480789,Barbara Smith,Brad Smith
41,49,678.0,789.5,-0.06102851405739784,Brad Smith,Yevgenia Kozorovitskiy
102,108,1774.0,1890.1666666666665,-0.05942006781697273,Alexandra Dickinson,Aniruddha Ray
57,64,922.5,1010.25,-0.05795937031507492,Carolyn Bayer,Yevgenia Kozorovitskiy
122,125,2101.5,2145.333333333333,-0.05719152092933655,Brad Smith,Sixian You
163,175,2684.0,2803.5,-0.05662330985069275,Carolyn Bayer,Barbara Smith
100,102,1749.5,1774.0,-0.05548340454697609,Carolyn Bayer,Alexandra Dickinson
163,173,2684.0,2792.0,-0.05423063039779663,Carolyn Bayer,Brad Smith
202,208,3184.0,3274.7692307692305,-0.05237146466970444,Barbara Smith,Barbara Smith
198,205,3116.5,3232.538461538462,-0.04941781982779503,Brad Smith,Barbara Smith
164,175,2694.75,2803.5,-0.048764556646347046,Brad Smith,Barbara Smith
167,178,2731.5,2824.0,-0.04772786423563957,Brad Smith,Aniruddha Ray
173,184,2792.0,2892.5,-0.04754137992858887,Brad Smith,Brad Smith
197,199,3108.5,3140.6,-0.046637363731861115,Yevgenia Kozorovitskiy,Luke Mortensen
173,185,2792.0,2911.0,-0.04615771770477295,Brad Smith,Aniruddha Ray
41,47,678.0,771.5,-0.044968001544475555,Brad Smith,Yevgenia Kozorovitskiy
164,174,2694.75,2797.5,-0.04489142447710037,Brad Smith,Aniruddha Ray
163,170,2684.0,2761.0,-0.04466281831264496,Carolyn Bayer,Aniruddha Ray
188,196,2966.5,3073.5,-0.04408203065395355,Brad Smith,Brad Smith
57,61,922.5,958.0,-0.04266323894262314,Carolyn Bayer,Yevgenia Kozorovitskiy
168,178,2736.0,2824.0,-0.040204767137765884,Sixian You,Aniruddha Ray
192,197,3020.0,3108.5,-0.040124066174030304,Aniruddha Ray,Yevgenia Kozorovitskiy
193,199,3032.5,3140.6,-0.03971371799707413,Brad Smith,Luke Mortensen
175,182,2803.5,2869.5,-0.03870726749300957,Barbara Smith,Brad Smith
122,128,2101.5,2205.375,-0.03866347670555115,Brad Smith,Sixian You
39,45,656.9,731.0,-0.03850766271352768,Brad Smith,Brad Smith
122,126,2101.5,2167.083333333333,-0.038341570645570755,Brad Smith,Sixian You
196,199,3073.5,3140.6,-0.03719858080148697,Brad Smith,Luke Mortensen
168,175,2736.0,2803.5,-0.036248669028282166,Sixian You,Barbara Smith
39,47,656.9,771.5,-0.03550133854150772,Brad Smith,Yevgenia Kozorovitskiy
102,103,1774.0,1786.0,-0.03467119485139847,Alexandra Dickinson,Carolyn Bayer
202,209,3184.0,3293.5384615384614,-0.03378494456410408,Barbara Smith,Barbara Smith
191,196,3006.5,3073.5,-0.033556342124938965,Carolyn Bayer,Brad Smith
127,132,2187.625,2251.5,-0.03292141854763031,Sixian You,Brad Smith
122,127,2101.5,2187.625,-0.031705908477306366,Brad Smith,Sixian You
175,180,2803.5,2858.5,-0.031300727277994156,Barbara Smith,Brad Smith
189,195,2988.5,3056.0,-0.03058832325041294,Carolyn Bayer,Carolyn Bayer
190,194,3002.5,3038.5,-0.03009847179055214,Aniruddha Ray,Aniruddha Ray
197,200,3108.5,3154.6,-0.03001904860138893,Yevgenia Kozorovitskiy,Luke Mortensen
102,106,1774.0,1847.5,-0.02929598093032837,Alexandra Dickinson,Barbara Smith
196,200,3073.5,3154.6,-0.029142824932932854,Brad Smith,Luke Mortensen
51,57,818.0,922.5,-0.028689909726381302,Brad Smith,Carolyn Bayer
57,63,922.5,997.5,-0.02837911620736122,Carolyn Bayer,Yevgenia Kozorovitskiy
8,16,112.5,227.0,-0.028333473950624466,Aniruddha Ray,Brad Smith
96,102,1690.0,1774.0,-0.02479490637779236,Alexandra Dickinson,Alexandra Dickinson
46,48,752.0,782.0,-0.023393403738737106,Brad Smith,Brad Smith
175,181,2803.5,2866.5,-0.023233070969581604,Barbara Smith,Aniruddha Ray
134,137,2269.5,2322.1111111111113,-0.02224673703312874,Brad Smith,Alexandra Dickinson
178,187,2824.0,2943.5,-0.021694201976060867,Aniruddha Ray,Yevgenia Kozorovitskiy
20,21,296.5625,301.5,-0.021628180518746376,Yevgenia Kozorovitskiy,Brad Smith
36,39,597.0,656.9,-0.021321523934602737,Steve Jett,Brad Smith
102,107,1774.0,1863.1666666666665,-0.02048514038324356,Alexandra Dickinson,Barbara Smith
134,138,2269.5,2337.5,-0.02005942165851593,Brad Smith,Brad Smith
102,105,1774.0,1831.8333333333335,-0.019365549087524414,Alexandra Dickinson,Barbara Smith
99,103,1737.5,1786.0,-0.019008826464414597,Alexandra Dickinson,Carolyn Bayer
97,99,1705.3333333333335,1737.5,-0.01839454099535942,Alexandra Dickinson,Alexandra Dickinson
166,169,2718.5,2748.5,-0.018113572150468826,Sixian You,Brad Smith
78,82,1303.0,1408.0,-0.018092414364218712,Brad Smith,Carolyn Bayer
97,102,1705.3333333333335,1774.0,-0.017149921506643295,Alexandra Dickinson,Alexandra Dickinson
192,193,3020.0,3032.5,-0.017101489007472992,Aniruddha Ray,Brad Smith
165,169,2708.25,2748.5,-0.016440851613879204,Brad Smith,Brad Smith
40,44,672.5,711.0,-0.016175350174307823,Barbara Smith,Brad Smith
165,175,2708.25,2803.5,-0.016005264595150948,Brad Smith,Barbara Smith
179,184,2839.0,2892.5,-0.015700792893767357,Brad Smith,Brad Smith
201,207,3173.0,3256.0,-0.014756100252270699,Brad Smith,Barbara Smith
163,169,2684.0,2748.5,-0.014513660222291946,Carolyn Bayer,Brad Smith
139,140,2355.0,2369.5,-0.013713240623474121,Alexandra Dickinson,Brad Smith
9,11,121.5,151.58333333333331,-0.013551965355873108,Brad Smith,Alexandra Dickinson
114,122,1984.75,2101.5,-0.013447840698063374,Barbara Smith,Brad Smith
178,185,2824.0,2911.0,-0.01342230848968029,Aniruddha Ray,Aniruddha Ray
4,8,57.33333333333333,112.5,-0.012208834290504456,Aniruddha Ray,Aniruddha Ray
92,99,1627.0,1737.5,-0.011645671911537647,Carolyn Bayer,Alexandra Dickinson
202,205,3184.0,3232.538461538462,-0.010383900254964828,Barbara Smith,Barbara Smith
190,196,3002.5,3073.5,-0.009567026980221272,Aniruddha Ray,Brad Smith
126,131,2167.083333333333,2242.5,-0.009073419496417046,Sixian You,Barbara Smith
117,122,2028.25,2101.5,-0.0077041927725076675,Barbara Smith,Brad Smith
167,173,2731.5,2792.0,-0.007583184167742729,Brad Smith,Brad Smith
