u,t,speaker,best_sim
0,9.25,Brad Smith,0.4193604588508606
1,27.75,Brad Smith,0.6402954459190369
2,42.0,Aniruddha Ray,0.2515743374824524
3,51.0,Brad Smith,0.39012211561203003
4,57.33333333333333,Aniruddha Ray,0.5420015454292297
5,63.0,Barbara Smith,0.3154897093772888
6,80.0,Aniruddha Ray,0.5949191451072693
7,99.5,Aniruddha Ray,0.733940839767456
8,112.5,Aniruddha Ray,0.5238412022590637
9,121.5,Brad Smith,0.23770421743392944
10,131.16666666666669,Alexandra Dickinson,0.6586509943008423
11,151.58333333333331,Alexandra Dickinson,0.5558798313140869
12,167.91666666666666,Alexandra Dickinson,0.30853426456451416
13,173.0,Brad Smith,0.36771470308303833
14,190.4,Barbara Smith,0.530068576335907
15,214.4,Barbara Smith,0.5735656023025513
16,227.0,Brad Smith,0.2249627709388733
17,247.75,Yevgenia Kozorovitskiy,0.5336843729019165
18,269.9375,Yevgenia Kozorovitskiy,0.644483745098114
19,287.6875,Yevgenia Kozorovitskiy,0.47858312726020813
20,296.5625,Yevgenia Kozorovitskiy,0.478262722492218
21,301.5,Brad Smith,0.14968043565750122
22,316.2857142857143,Sixian You,0.5453992486000061
23,337.7142857142857,Sixian You,0.5259494781494141
24,358.42857142857144,Sixian You,0.683193564414978
25,380.83333333333337,Sixian You,0.49813830852508545
26,400.33333333333337,Sixian You,0.5866192579269409
27,427.16666666666663,Luke Mortensen,0.4281599521636963
28,445.66666666666663,Luke Mortensen,0.36393848061561584
29,450.5,Sixian You,0.19189298152923584
30,472.0,Luke Mortensen,0.6539959907531738
31,496.5,Luke Mortensen,0.46840620040893555
32,519.375,Steve Jett,0.2793969213962555
33,535.875,Steve Jett,0.4886108636856079
34,555.0,Steve Jett,0.43723875284194946
35,582.0,Steve Jett,0.44827234745025635
36,597.0,Steve Jett,0.3307214379310608
37,612.7,Brad Smith,0.44530293345451355
38,636.5999999999999,Brad Smith,0.24644717574119568
39,656.9,Brad Smith,0.2924145460128784
40,672.5,Barbara Smith,0.19743004441261292
41,678.0,Brad Smith,0.19869083166122437
42,688.5,Brad Smith,0.27708959579467773
43,699.5,Brad Smith,0.3995940387248993
44,711.0,Brad Smith,0.41852083802223206
45,731.0,Brad Smith,0.5783262848854065
46,752.0,Brad Smith,0.2692338228225708
47,771.5,Yevgenia Kozorovitskiy,0.723297119140625
48,782.0,Brad Smith,0.2963869571685791
49,789.5,Yevgenia Kozorovitskiy,0.49399712681770325
50,805.75,Brad Smith,0.4111377000808716
51,818.0,Brad Smith,0.5059555768966675
52,842.3333333333333,Yevgenia Kozorovitskiy,0.4597020745277405
53,862.8333333333333,Yevgenia Kozorovitskiy,0.23189467191696167
54,875.0,Brad Smith,0.30629754066467285
55,894.5,Sixian You,0.5062664747238159
56,913.5,Sixian You,0.5346239805221558
57,922.5,Carolyn Bayer,0.24758107960224152
58,925.5,Brad Smith,0.23823249340057373
59,933.0,Carolyn Bayer,0.32563120126724243
60,942.5,Brad Smith,0.2777084410190582
61,958.0,Yevgenia Kozorovitskiy,0.47799235582351685
62,981.0,Yevgenia Kozorovitskiy,0.2967151403427124
63,997.5,Yevgenia Kozorovitskiy,0.5347611904144287
64,1010.25,Yevgenia Kozorovitskiy,0.4026915729045868
65,1030.75,Yevgenia Kozorovitskiy,0.23730900883674622
66,1056.75,Brad Smith,0.5620278120040894
67,1086.5,Sixian You,0.5650906562805176
68,1110.3333333333335,Sixian You,0.4799075424671173
69,1134.3333333333335,Sixian You,0.44874751567840576
70,1150.5,Sixian You,0.24836742877960205
71,1175.1666666666665,Yevgenia Kozorovitskiy,0.527432918548584
72,1194.6666666666665,Yevgenia Kozorovitskiy,0.31086432933807373
73,1213.0,Yevgenia Kozorovitskiy,0.46651241183280945
74,1231.25,Yevgenia Kozorovitskiy,0.4600343406200409
75,1252.0833333333335,Yevgenia Kozorovitskiy,0.39196932315826416
76,1268.8333333333335,Yevgenia Kozorovitskiy,0.34589093923568726
77,1277.0,Yevgenia Kozorovitskiy,0.29502248764038086
78,1303.0,Brad Smith,0.2374279648065567
79,1322.0,Brad Smith,0.5708452463150024
80,1352.0,Carolyn Bayer,0.5065674185752869
81,1384.5,Carolyn Bayer,0.6662501692771912
82,1408.0,Carolyn Bayer,0.7719129323959351
83,1434.125,Carolyn Bayer,0.521526038646698
84,1451.625,Carolyn Bayer,0.45417484641075134
85,1469.0,Brad Smith,0.3460312485694885
86,1491.25,Carolyn Bayer,0.31771838665008545
87,1513.75,Carolyn Bayer,0.44361504912376404
88,1539.0,Carolyn Bayer,0.29258087277412415
89,1562.5,Carolyn Bayer,0.33035171031951904
90,1581.5,Carolyn Bayer,0.5195090770721436
91,1602.5,Carolyn Bayer,0.49398431181907654
92,1627.0,Carolyn Bayer,0.4644700586795807
93,1646.5,Carolyn Bayer,0.38000762462615967
94,1659.5,Carolyn Bayer,0.3666622042655945
95,1674.6666666666665,Alexandra Dickinson,0.6342401504516602
96,1690.0,Alexandra Dickinson,0.42232367396354675
97,1705.3333333333335,Alexandra Dickinson,0.5248242616653442
98,1725.0,Carolyn Bayer,0.6378824710845947
99,1737.5,Alexandra Dickinson,0.5309256315231323
100,1749.5,Carolyn Bayer,0.7207888960838318
101,1767.0,Yevgenia Kozorovitskiy,0.3924620449542999
102,1774.0,Alexandra Dickinson,0.050925470888614655
103,1786.0,Carolyn Bayer,0.5589714050292969
104,1815.5,Barbara Smith,0.5186997652053833
105,1831.8333333333335,Barbara Smith,0.5476771593093872
106,1847.5,Barbara Smith,0.7006775736808777
107,1863.1666666666665,Barbara Smith,0.4711436927318573
108,1890.1666666666665,Aniruddha Ray,0.41079628467559814
109,1908.0833333333333,Aniruddha Ray,0.5105713605880737
110,1922.4166666666665,Aniruddha Ray,0.5016227960586548
111,1930.0,Brad Smith,0.6139284372329712
112,1945.0,Barbara Smith,0.5102664232254028
113,1967.0,Barbara Smith,0.5927260518074036
114,1984.75,Barbara Smith,0.5157673358917236
115,1998.25,Barbara Smith,0.5792960524559021
116,2012.75,Barbara Smith,0.4853666126728058
117,2028.25,Barbara Smith,0.5839406251907349
118,2043.75,Barbara Smith,0.4919198453426361
119,2059.25,Barbara Smith,0.5409551858901978
120,2074.75,Barbara Smith,0.25252997875213623
121,2090.25,Barbara Smith,0.486506849527359
122,2101.5,Brad Smith,0.042841847985982895
123,2114.0,Brad Smith,0.32806140184402466
124,2129.0,Brad Smith,0.4827139973640442
125,2145.333333333333,Sixian You,0.616085410118103
126,2167.083333333333,Sixian You,0.5053998827934265
127,2187.625,Sixian You,0.31771916151046753
128,2205.375,Sixian You,0.4899882376194
129,2220.5,Barbara Smith,0.2763303518295288
130,2232.5,Yevgenia Kozorovitskiy,0.2790754437446594
131,2242.5,Barbara Smith,0.29316771030426025
132,2251.5,Brad Smith,0.17378482222557068
133,2260.5,Brad Smith,0.446655809879303
134,2269.5,Brad Smith,0.175502747297287
135,2283.833333333333,Alexandra Dickinson,0.5178693532943726
136,2304.4444444444443,Alexandra Dickinson,0.5690728425979614
137,2322.1111111111113,Alexandra Dickinson,0.5699859261512756
138,2337.5,Brad Smith,0.46180787682533264
139,2355.0,Alexandra Dickinson,0.2425624579191208
140,2369.5,Brad Smith,0.44940394163131714
141,2385.5,Brad Smith,0.6302175521850586
142,2404.0,Brad Smith,0.5699145793914795
143,2422.0,Brad Smith,0.23450995981693268
144,2438.75,Luke Mortensen,0.5403405427932739
145,2459.25,Luke Mortensen,0.27684465050697327
146,2491.0,Brad Smith,0.5149852633476257
147,2509.5,Carolyn Bayer,0.6142961978912354
148,2519.75,Carolyn Bayer,0.41937851905822754
149,2537.0,Brad Smith,0.6758905649185181
150,2561.0,Aniruddha Ray,0.6288064122200012
151,2587.333333333333,Sixian You,0.6377383470535278
152,2601.333333333333,Sixian You,0.35551247000694275
153,2614.75,Brad Smith,0.5439573526382446
154,2624.75,Brad Smith,0.4434068202972412
155,2631.0,Carolyn Bayer,0.5320212841033936
156,2634.5,Barbara Smith,0.6667035818099976
157,2644.0,Carolyn Bayer,0.479254812002182
158,2652.5,Luke Mortensen,0.7443981766700745
159,2655.5,Brad Smith,0.5715804100036621
160,2663.0,Carolyn Bayer,0.2322099208831787
161,2672.0,Brad Smith,0.6701165437698364
162,2679.5,Sixian You,0.3622388243675232
163,2684.0,Carolyn Bayer,0.4609869122505188
164,2694.75,Brad Smith,0.44143691658973694
165,2708.25,Brad Smith,0.45609867572784424
166,2718.5,Sixian You,0.4720572531223297
167,2731.5,Brad Smith,0.2528735101222992
168,2736.0,Sixian You,0.16219154000282288
169,2748.5,Brad Smith,0.43230974674224854
170,2761.0,Aniruddha Ray,0.7510442733764648
171,2774.5,Brad Smith,0.3583970367908478
172,2784.5,Andrew Feig,0.43585532903671265
173,2792.0,Brad Smith,0.36418163776397705
174,2797.5,Aniruddha Ray,0.2947487533092499
175,2803.5,Barbara Smith,0.14997482299804688
176,2810.0,Aniruddha Ray,0.5458688735961914
177,2818.333333333333,Brad Smith,0.36052852869033813
178,2824.0,Aniruddha Ray,0.3175620436668396
179,2839.0,Brad Smith,0.26645785570144653
180,2858.5,Brad Smith,0.34660524129867554
181,2866.5,Aniruddha Ray,0.9081329107284546
182,2869.5,Brad Smith,0.44437652826309204
183,2879.5,Aniruddha Ray,0.34474655985832214
184,2892.5,Brad Smith,0.3975367546081543
185,2911.0,Aniruddha Ray,0.5863841772079468
186,2929.0,Aniruddha Ray,0.5539931058883667
187,2943.5,Yevgenia Kozorovitskiy,0.348524272441864
188,2966.5,Brad Smith,0.32354938983917236
189,2988.5,Carolyn Bayer,0.6010240912437439
190,3002.5,Aniruddha Ray,0.275726318359375
191,3006.5,Carolyn Bayer,0.13479360938072205
192,3020.0,Aniruddha Ray,0.1823579967021942
193,3032.5,Brad Smith,0.30307283997535706
194,3038.5,Aniruddha Ray,0.2202787548303604
195,3056.0,Carolyn Bayer,0.24641722440719604
196,3073.5,Brad Smith,0.5985532999038696
197,3108.5,Yevgenia Kozorovitskiy,0.19525769352912903
198,3116.5,Brad Smith,0.27641770243644714
199,3140.6,Luke Mortensen,0.4593248963356018
200,3154.6,Luke Mortensen,0.23842786252498627
201,3173.0,Brad Smith,0.15041996538639069
202,3184.0,Barbara Smith,0.10481216013431549
203,3191.0,Brad Smith,0.5704247951507568
204,3209.076923076923,Barbara Smith,0.6139962673187256
205,3232.538461538462,Barbara Smith,0.7134579420089722
206,3246.6153846153848,Barbara Smith,0.6958330869674683
207,3256.0,Barbara Smith,0.590205729007721
208,3274.7692307692305,Barbara Smith,0.640609860420227
209,3293.5384615384614,Barbara Smith,0.49831634759902954
210,3302.923076923077,Barbara Smith,0.6200920939445496
211,3317.0,Barbara Smith,0.6207402348518372
212,3335.7692307692305,Barbara Smith,0.6745861768722534
213,3359.2307692307695,Barbara Smith,0.43694329261779785
214,3387.3846153846152,Barbara Smith,0.49447742104530334
215,3406.153846153846,Barbara Smith,0.5933771133422852
216,3420.2307692307695,Barbara Smith,0.03963128849864006
217,3434.3076923076924,Barbara Smith,0.10070381313562393
218,3448.5,Brad Smith,0.23688164353370667
219,3513.5,Silvia Ronco,
